title,article,published,article_id,question_1,question_2
M: Andersson riskerar skapa splittring med Finland,"Moderatledaren Ulf Kristersson anser att statsminister Magdalena Anderssons (S) uttalanden om att en svensk Nato-ansökan kan bidra till destabilisering är ”mycket olyckliga” och ”på ett farligt vis nu riskerar att skapa splittring inom Sverige, och mellan Sverige och Finland.”I ett inlägg på Facebook skriver han att Andersson underminerar den svenska rätten att själv bestämma över landets säkerhetspolitiska linje.”I rädsla för Ryssland skulle vi i Sverige alltså avstå från att själva bestämma vårt eget öde.”",2022-03-08T20:13:27Z,z7PmRO,Vad anser Ulf Kristersson om Magdalena Anderssons uttalanden om en svensk Nato-ansökan?,Vad skriver Ulf Kristersson på Facebook om Magdalena Anderssons uttalanden om en svensk Nato-ansökan?
Ben Stiller till Zelenskyj: ”Du är min hjälte”,"På måndagen besökte den amerikanske skådespelaren Ben Stiller den ukrainske presidenten Volodymyr Zelenskyj i Kyiv, rapporterar BBC.– Du är min hjälte, sa Stiller till Zelenskyj, och konstaterade sedan att presidenten lämnat en ”bra skådespelarkarriär” för sitt yrke.– Inte så bra som din, kontrade Zelenskyj.Under samtalet underströk Zelenskyj bland annat hur viktigt det är för ukrainarna att omvärlden fortsätter prata om kriget och hur Ryssland ska pressas.Stiller besökte Ukraina i egenskap av ambassadör för FN:s flyktingorgan UNHCR på internationella flyktingdagen.",2022-06-21T14:07:26Z,x8q27Q,Vem besökte den ukrainske presidenten Volodymyr Zelenskyj på måndagen?,Vad underströk Volodymyr Zelenskyj under samtalet med Ben Stiller?
Abramovitjs super-yachter duckar sanktioner ,"Två så kallade superyachter som sägs tillhöra oligarken Roman Abramovitj ligger ankrade i Turkiet. Båtarna, som spås ha ett gemensamt värde på 1 miljard dollar,  rundar därmed västs sanktioner och risken att bli beslagtagna, skriver CNBC. Abramovitj är under sanktioner från både EU och Storbritannien. Turkiet, som inte är med i EU men i Nato, har därför blivit ett eftertraktad land för oligarker att förvara tillhörigheter i. Chelsea-ägarens agerande är därmed inte olagligt, eftersom han befinner sig i territorier utanför EU, noterar kanalen. ",2022-03-24T14:47:00Z,8Qkz7r,Vilken oligark sägs äga två superyachter som ligger ankrade i Turkiet?,Varför är Turkiet ett eftertraktat land för oligarker att förvara tillhörigheter i?
Expert: Segerdagen blir troligt ett viktigt vägskäl,"Segerdagen den 9 maj är symboliskt viktig för Ryssland och just därför kan den komma att bli ett avgörande vägskäl för kriget i Ukraina, tror Magnus Christansson, lektor i krigsvetenskap vid Försvarshögskolan. – Förhandlingar går inte under de här omständigheterna. Att Ryssland deklarerar seger skulle inte heller hjälpa. Det som är troligt är att Putin mobiliserar och ökar insatserna i kriget, säger han i SVT:s Morgonstudion. SVT:s Rysslandskorrespondent Bert Sundström tror å andra sidan att Kreml kommer att annonsera någon form av delseger under morgondagen.  – Det finns ett tryck mot Kreml (...) Det vore förvånande om inget sådant kommer, säger han. ",2022-05-08T08:42:43Z,0G8q1g,Vad är Segerdagen den 9 maj symboliskt viktig för i Ryssland?,"Vad tror Magnus Christansson, lektor i krigsvetenskap vid Försvarshögskolan, om vad som kommer att hända efter Segerdagen?"
Växande missnöje i EU: ”USA tjänar mest på kriget”,"Inom EU finns ett växande missnöje med hur USA har agerat under kriget i Ukraina, skriver Politico. Sajten uppger att flera höga EU-företrädare anser att USA har använt kriget för att gynna sig själv, genom att sälja vapen och gas till höga priser. Även amerikanska subventioner får kritik för att snedvrida konkurrensen till Europas nackdel. – Faktum är, om man ser nyktert på saken, att det land som tjänat mest på det här kriget är USA, säger en högt uppsatt EU-företrädare. En annan EU-källa varnar för att USA:s agerande på sikt kan göra den europeiska allmänheten allt mer negativt inställd både till att stötta Ukraina i kriget och till det transatlantiska samarbetet i stort. EU:s utrikeschef Josep Borrell har tidigare uppmanat USA att ta hänsyn till oron i Europa och påpekat att Washingtons beslut får ekonomiska konsekvenser för européer. ",2022-11-25T08:42:55Z,MoA56K,Vem rekryterar syrier för att hjälpa den ryska armén att inta Kyiv?,Vad pekar en amerikansk analys på om Rysslands rekrytering av personer från Syrien?
Källor: Ryssland rekryterar syrier för att inta Kyiv,"Ryssland rekryterar syrier för att hjälpa den ryska armén att inta Kyiv, uppger fyra amerikanska myndighetskällor för tidningen The Wall Street Journal.En amerikansk analys pekar på att Ryssland de senaste dagarna har rekryterat personer från landet med erfarenhet från strider i stadsmiljö. En av källorna uppger att några av dem redan har anlänt till Ryssland.Ryssland deltog i kriget i Syrien 2015 på diktatorn Bashar al-Assads sida. ",2022-03-07T09:05:16Z,L5gEyQ,Vilken erfarenhet har de syriska rekryterna som Ryssland anlitat för att inta Kyiv?,När deltog Ryssland i kriget i Syrien?
Fallskärmssoldat i Irpin: Vet inte om vi klarar detta,"I orten Irpin i de nordvästra utkanterna av Kyiv har ukrainska trupper under måndagen drabbat samman med ryska trupper. Den ukrainske fallskärmssoldaten Stas, som egentligen heter något annat, säger till AFP att de har mött starkt motstånd. – Det är en enorm kolonn. Omkring 200 män, 50 lättbepansrade fordon och flera stridvagnar. Vi har försökt få ut dem ur staden, men jag vet inte om vi kommer att lyckas, säger han. Oleksij Cherikalov, som har tagit ledigt från striderna en dag för att evakuera sin familj från Irpin, säger att ryska prickskyttar har skjutit mot dem hela dagen. – Det är en i den blå byggnaden där borta, säger han till nyhetsbyrån och tittar över sin axel. ",2022-03-07T20:43:21Z,RrBMG8,Var har ukrainska trupper drabbat samman med ryska trupper?,Vad säger den ukrainske fallskärmssoldaten Stas om situationen i Irpin?
Åtta miljoner på flykt: ”Inser hur bra det är att ha ett hem”,"FN:s statistik visar att över åtta miljoner människor har flytt kriget i Ukraina och nu befinner sig på olika platser i Europa, skriver ABC News. Grannlandet Polen har tagit emot flest, totalt 1,5 miljoner ukrainare.BBC har träffat flera barn som tvingades fly de ryska soldaternas offensiv. 13-åriga Viola lämnade sitt hem i mitten av natten när ryska soldater tog över hennes hemby.– Vi hade inte ens tid att vända oss om och kolla på huset och vi visste inte vart vi skulle, säger hon.Elvaårige Dmitri har tillbringat mycket tid i en kall källare för att minska risken att dö. Han säger att han har förändrats mycket under kriget.– Jag har börjat förstå hur bra det är att ha ett hem.",2023-02-23T08:12:42Z,JQ7JK7,Hur många människor har flytt kriget i Ukraina enligt FN:s statistik?,Vilket grannland har tagit emot flest ukrainska flyktingar?
Expert: Johnson vill visa stöd med ett Sverigebesök,Att Storbritanniens premiärminister Boris Johnson ska besöka Sverige på onsdag är ett sätt för Natolandet att visa stöd för Sverige medan beslutsprocessen för ett eventuell Natoansökan pågår. Det menar statsvetaren Marja Lemne till Dagens Nyheter.– Just nu får vi uppmärksamhet och uppvaktning som jag inte kan minnas att vi fått tidigare. (...) Det är svårt att tänka att Johnson åker hit för att avråda oss i från att ansöka.Enligt uppgifter till Aftonbladet kommer Johnson signera ett avtal om fördjupat försvars- och säkerhetssamarbete under perioden mellan en eventuell Natoansökan och ett medlemskap.,2022-05-10T20:24:28Z,OrO59E,Varför ska Boris Johnson besöka Sverige enligt statsvetaren Marja Lemne?,Vad kommer Boris Johnson att signera under sitt besök i Sverige enligt uppgifter till Aftonbladet?
Chelsea bekräftar: Klubben såldes under natten,"Den amerikanske affärsmannen Todd Boehly och hans konsortium har köpt den engelska storklubben Chelsea, och köpet väntas gå igenom på måndag. Det bekräftar klubben i ett pressmeddelande.Under veckan har köpet godkänts av både den brittiska och den portugisiska regeringen, och innebär att den ryske oligarken Roman Abramovitjs framgångsrika tid som ägare nått sitt slut.Affären är värd motsvarande 52 miljarder kronor, och en del av pengarna ska gå till en fond för offren i Ukraina.",2022-05-28T08:38:09Z,5Ga60b,Vem har köpt Chelsea Football Club?,Hur mycket pengar ska gå till en fond för offren i Ukraina i samband med köpet av Chelsea Football Club?
Putin vill rusta upp flottan med ny hypersonisk robot,"Ryssland kommer inom månader att rusta upp sin flotta med den blixtsnabba kryssningsroboten Zircon. Det beskedet gav president Vladimir Putin vid ett tal under firandet av marinens dag i S:t Petersburg skriver Reuters.Den ryskutvecklade hypersoniska sjömålsroboten Zircon kan nå en hastighet på 9 800 kilometer i timmen, nio gånger snabbare än ljudets hastighet, och kan avfyras från land eller till sjöss. Putin säger i sitt tal att vapnet ”saknar motstycke i världen”.– Den har inga gränser.Inför talet skrev Putin under en ny marin doktrin i vilken det bland annat framgår att Ryssland kommer att ”skydda sina nationella intressen i Atlanten och motsätta sig Natos försök att föra fram sin militära infrastruktur till ryska gränser”.",2022-08-01T07:29:52Z,Orw4Pq,Vad är den maximala hastigheten som den ryska hypersoniska sjömålsroboten Zircon kan nå?,Vilken marin doktrin skrev Vladimir Putin under inför talet om Zircon?
Moldaver öppnar sina hem för ukrainare: ”En otrolig värme”,"Det lilla grannlandet Moldavien har tagit emot ukrainska flyktingar motsvarande tio procent av sin befolkning, rapporterar TT.Enligt Sveriges ambassadör i Moldavien, Katarina Fried, har landet välkomnat flest flyktingar under den ryska invasionen i förhållande till sin befolkningsmängd – hittills 260 000 ukrainska medborgare samt 30 000 personer med andra medborgarskap. Många har fortsatt till andra länder, men över 100 000 är kvar.Katarina Fried säger att det moldaviska folket visat stor solidaritet och  öppnat upp sina hem när hjälporganisationernas resurser har sinat. – Två tredjedelar av de flyktingar som stannat kvar i Moldavien bor hemma hos vanliga människor helt enkelt. Det är en otrolig värme som moldaviska folket har visat, när de ställer upp som frivilliga, skjutsar, ger bort mat, säger hon. ",2022-03-10T07:20:58Z,v51vR4,Hur många ukrainska flyktingar har Moldavien tagit emot i förhållande till sin befolkningsmängd?,Vad har det moldaviska folket visat för de ukrainska flyktingarna enligt Sveriges ambassadör i Moldavien?
Zelenskyj: Världens framtid avgörs på Ukrainas slagfält,"Ukraina kommer att vinna kriget som Ryssland startat. Det var den ukrainske presidenten Volodymyr Zelenskyjs huvudbudskap när han via videolänk talade under den pågående internationella säkerhetskonferensen i Singapore, rapporterar Reuters. – Det är på Ukrainas slagfält som världens framtida styre avgörs, sa han vidare. Han tog också upp blockaden av ukrainska hamnar och sa att en allvarlig global livsmedelskris är att vänta om ukrainskt spannmål inte kan nå världsmarknaden. ",2022-06-11T13:49:04Z,286pLl,Vad var Ukrainas president Volodymyr Zelenskyjs huvudbudskap under hans tal vid den internationella säkerhetskonferensen i Singapore?,Vad varnade Zelenskyj för i sitt tal vid den internationella säkerhetskonferensen i Singapore?
Storbritannien: Fortsatt ryskt hot i Svarta havet,"Omkring 20 ryska stridsfartyg befinner sig fortfarande i Svarta havet, däribland flera ubåtar. Det skriver det brittiska försvarsdepartementet i en lägesuppdatering.Eftersom Bosporen fortfarande håller stängt för icke-turkiska skepp har Ryssland inte kunnat ersätta robotkryssaren Moskva. Trots de ”pinsamma” förluster Ryssland lidit har de fortfarande kapacitet att beskjuta ukrainska mål, skriver försvarsdepartementet.",2022-04-28T07:25:39Z,340pJX,Hur många ryska stridsfartyg befinner sig fortfarande i Svarta havet?,Varför har Ryssland inte kunnat ersätta robotkryssaren Moskva i Svarta havet?
Ledare: EU och Nato ska inte blanda sig i kriget mer,"Kriget i Ukraina fortsätter att dominera på tidningarnas ledarsidor med ämnen som Nato-medlemskap, ökade bensinpriser och terrorbalans. Det sistnämna tas upp av GP:s Adam Cwejman, som tycker att EU och Nato ska undvika att blanda sig i kriget mer än vad som redan görs. ”Ryssland har tagit sig vatten över huvudet med invasionen av Ukraina. Men väst riskerar att göra samma sak om man trappar upp konflikten. Lärdomen från kalla kriget är att terrorbalans var nödvändigt för freden.”På DN och Sydsvenskans ledarsidor tas bensinpriset upp, som har ökat ytterligare sedan invasionens start. DN tycker att staten om nödvändigt ska stötta dem som drabbas hårdast i landet, men motsätter sig en sänkt bensinskatt för alla.Sydsvenskan är inne på samma linje, men tillägger att klimatvänliga drivmedel måste premieras. ”Om målet är att minska utsläppen borde drivmedel med högre inblandning (av biogas) bli billigare, inte dyrare.”",2022-03-09T06:54:37Z,5Glx5z,Vad tar GP:s Adam Cwejman upp på tidningens ledarsida om kriget i Ukraina?,Vad är Sydsvenskans förslag för att minska utsläppen i Ukraina?
Uppgifter: Andersson vill att Sverige går med i Nato i juni,"Statsminister Magdalena Andersson (S) har som mål att Sverige går med i Nato i juni i år, enligt källor till SvD. Enligt tidningen har partiledningen bestämt sig.Ansökan uppges vara planerad att lämnas in på Nato-mötet i Madrid den 29–30 juni.Tidigare i dag rapporterade Aftonbladet att Socialdemokraterna kallat till ett avgörande möte i frågan den 24 maj, med hänvisning till källor.Klockan 12 på onsdagen håller Magdalena Andersson pressträff tillsammans med Finlands statsminister Sanna Marin.",2022-04-13T09:27:32Z,ALwbMq,Vad är Magdalena Anderssons mål för Sverige i juni i år enligt källor till SvD?,När väntas ansökan om Nato-medlemskap lämnas in enligt SvD?
Påven efterlyser fred under ”krigets påsk”,"Påve Franciskus beklagade på söndagen ”krigets påsk” i sitt traditionella ”urbi et orbi”-tal i Peterskyrkan, rapporterar AFP.– Må det bli fred i det krigshärjade Ukraina, så hårt prövat av våldet och förstörelsen i det grymma och vettlösa krig det blivit indraget i.”Urbi et orbi” betyder ”staden och världen” och hålls två gånger om året, på påsken och julen, samt i samband med att en ny påve väljs.",2022-04-17T11:37:36Z,wOG47P,Vad sa påve Franciskus om Ukraina i sitt ”urbi et orbi”-tal?,Vad betyder ”urbi et orbi”?
Så kan försvaret rustas upp snabbt med mer resurser,"Försvarsmakten kan rusta upp och stärkas relativt snabbt – om de får mer pengar. Det framgår i den redogörelse som nu lämnats in till regeringen, skriver TT. Det handlar om en upprustning utöver den redan planerade.Luftvärnsrobotar, jaktrobotar och pansarvärnsvapen pekas ut som områden där snabba åtgärder är möjliga. Utöver det lyfts granatkastarpansarbandvagnar och förstärkt pansarvärnsförmåga för att stärka försvaret av Gotland.På kort sikt vill Försvarsmakten se att lager av beredskapsvaror byggs upp, och att ytterligare personlig utrustning som uniformer och handeldvapen köps in. ",2022-03-08T17:39:48Z,MLBQpB,Vilka områden pekas ut som möjliga för snabba åtgärder i den redogörelse som Försvarsmakten lämnat in till regeringen?,Vad vill Försvarsmakten se på kort sikt i den redogörelse som lämnats in till regeringen?
Zelenskyj: Ryska soldater är ”mördare och torterare”,"Ukrainas president Volodymyr Zelenskyj kallar de ryska styrkorna för ”mördare”, ”torterare” och ”våldtäktsmän” efter att hundratals civila ukrainare hittats döda på gatorna i städerna runt huvudstaden Kyiv.Han lovade också att utreda och väcka åtal för alla ”Rysslands brott i Ukraina”.– Hundratals människor har dödats. Torterade, avrättade civila. Kroppar på gatorna, säger han i sitt nattliga tal och tillägger att de som gjort det här ”inte förtjänar annat än död för vad de gjort”.",2022-04-04T03:23:25Z,343Pke,Vad kallar Ukrainas president de ryska styrkorna och varför?,Vad lovar Ukrainas president att göra åt Rysslands brott i Ukraina?
Stoltenberg varnar Iran: Sluta hjälpa Ryssland,"Allt fler uppgifter gör gällande att Iran skickar drönare till Ryssland, som använder dem i fält i Ukraina. Det får Natochefen Jens Stoltenberg att sätta ner foten.– Vi uppmanar Iran att sluta förse Ryssland med några som helst vapen. Det är ett sätt att stödja ett olagligt anfallskrig. Ingen borde stödja något sådant, säger han i en intervju med TT.Han tillägger att Nato inom några dagar kommer att skicka störsändare till Ukraina som skydd mot drönare.Stoltenberg passar också på att gratulera Sveriges nye statsminister Ulf Kristersson, och säger att han är glad att den nya svenska linjen i Natofrågan förs vidare.På måndagen införde EU nya sanktioner mot Iran efter våldet mot demonstranter i landet, och flaggade för att fler kan komma om iranska vapenaffärer med Ryssland kan bevisas.",2022-10-18T04:58:11Z,nQQ4d5,Vad uppmanar Natochefen Iran att göra?,Vad gör Nato för att skydda Ukraina mot drönare?
Damberg: ”Har alltid haft skeptisk inställning till allt Ryssland säger och gör”,"Beskedet att försvarsanslaget höjs till motsvarande två procent av BNP är en nödvändig satsning, enligt finansminister Mikael Damberg (S). I en stor intervju med Expressen berättar han bland annat om sin familjehistoria. Dambergs mamma har finskt ursprung och kom till Sverige som krigsbarn under den sovjetiska invasionen. Hans morfar dog som soldat under finska vinterkriget. – Jag har alltid haft en skeptisk inställning till allt Ryssland säger och gör. Min mormor hade ett talesätt: En ryss är en ryss även med smör på, säger han.Mikael Damberg säger att Ryssland blir allt råare i sin krigföring, något han tolkar som att landet ”inte skyr några medel för att uppnå sina politiska mål”. ",2022-03-11T07:47:46Z,jaJdy0,Vad säger finansminister Mikael Damberg om Ryssland?,Vad säger Mikael Damberg om sin familjehistoria?
Försvarsministern: Ryssland flyttar trupper närmare,"Enligt den amerikanske försvarsministern Lloyd Austin fyller Ryssland på blodförråd, flyttar trupper närmare gränserna och flyger in fler stridsflygplan, rapporterar Reuters.USA:s FN-ambassadör Linda Thomas-Greenfield säger att landet har bevis för att en rysk invasion av Ukraina kan ske i närtid.”Bevisläget på marken visar att Ryssland rör sig mot en nära förestående invasion. Det här är ett avgörande ögonblick”, säger hon till reportrar enligt NBC:s Vita huset-korrespondent Peter Alexander.",2022-02-17T13:26:12Z,Xq2ob7,Vad säger USA:s FN-ambassadör om risken för en rysk invasion av Ukraina?,Vad säger USA:s försvarsminister om Rysslands agerande?
Källor: Blinken tror att kriget kan fortsätta året ut,"USA:s utrikesminister Antony Blinken uppges ha varnat allierade i Europa för att Rysslands krig mot Ukraina kan pågå resterande delen av 2022. Det uppger två europiska källor för CNN.Allt fler uttalanden den senaste tiden har pekat mot att väst väntar sig ett utdraget krig. I torsdags sa USA:s nationella säkerhetsrådgivare Jake Sullivan att striderna i Ukraina sannolikt kommer att pågå ”flera månader eller längre”, och enligt CNN drar en del politiker i USA:s kongress i tysthet paralleller till Koreakriget som pågick i tre år.",2022-04-15T14:23:38Z,g6n4Ga,Vad varnar USA:s utrikesminister allierade i Europa för?,Hur länge tror uttalanden från väst att kriget i Ukraina kan pågå?
Försvaret: Tipsuppmaning har ingen Ukrainakoppling,"Försvaret har blivit ”helt nerringda” efter att allmänheten uppmanats att rapportera misstänkta observationer, säger marinens kommunikationschef Rebecca Landberg till TT. Överbefälhavare Micael Bydéns uppmaning om att ”rapportera det som avviker” har lett till ett ”enormt tryck” på SOS Alarm, marinen och de militära regionerna. Citatet har dock blivit taget ur sitt sammanhang och har inte med kriget i Ukraina att göra, säger Landberg. – Människor kan ha fått uppfattningen att det här hänger ihop med den säkerhetspolitiska situationen, vilket det inte gör. I en artikel i tidningen Skärgården i veckan sa marinens säkerhetschef att man är intresserad av tips från allmänheten. Enligt TT handlar det om en årlig kampanj från marinen, och har inget med Ukraina att göra. ",2022-03-11T20:31:43Z,V9MPxV,Vad säger marinens kommunikationschef om uppmaningen att rapportera misstänkta observationer?,Vad säger marinens säkerhetschef om tips från allmänheten?
Belarus: Osannolikt att ukrainsk robot var misstag,"Det är osannolikt att en nedskjuten ukrainsk robot hamnat i belarusiskt luftrum av misstag. Det säger Aleksandr Volfovitj vid landets säkerhetsråd till statliga Sputnik Belarus, rapporterar Reuters. – Kyiv strävar efter att provocera fram en regional konflikt på alla sätt, säger Volfovitj. Enligt ryska och belarusiska medier ska en ukrainsk robot av typen S-300 slagit ned i Belarus under gårdagen. Det skedde samtidigt som Ryssland sköt över 100 robotar mot ukrainska städer, vilket var den största attacken på flera veckor. Ukrainas ambassadör i Belarus har kallats till utrikesdepartementet. Ukraina själva säger att de ska utreda händelsen men konstaterar att landet har rätt att försvara sig mot ryska attacker. ",2022-12-30T14:03:14Z,BWGd9v,Vad säger Aleksandr Volfovitj vid landets säkerhetsråd om den nedskjutna ukrainska roboten?,Vad säger Ukraina om händelsen med den nedskjutna roboten i Belarus?
Ledare: Höjda anslag en delseger för despoten Putin,"Regeringens besked att två procent av Sveriges BNP ska läggas på försvaret är utmärkt men beslutet ”satt långt inne”, enligt Expressens liberala ledarsida.”Det är uppenbart att vi inte på långa vägar har ett försvar som matchar det kraftigt försämrade omvärldsläget. Det är bråttom att göra något åt den saken, skriver tidningen.Dagens Nyheters ledarsida (oberoende liberal) anser att beskedet markerar en ”ny, svensk beredskapstid”:”Denna gång måste Sverige ha lärt läxan. Aldrig mer kan vi rusta ner försvaret och önsketänka bort framtida hot”.Höjda anslag är angeläget samtidigt som beslutet är frustrerande, skriver Sydsvenskans ledarsida (oberoende liberal). ”Sverige – och de andra länder som nu ser över sin militära förmåga – borde inte behöva prioritera ett starkare försvar. Redan detta blir ju en delseger för den ryska despoten Vladimir Putin.”Göran Greider på Dalademokraten (fristående socialdemokratisk) anser att försvarssatsningen är ”överilad”:”Något omedelbart militärt hot mot Sverige föreligger inte, även om rätt många svenskar troligen går omkring och tror det när stämningen piskas upp. Vi ser ju alla det barbari som den ryska krigsmakten sysslar med i Ukraina”, skriver han.",2022-03-11T08:26:02Z,nWKapJ,Vad säger Expressens liberala ledarsida om regeringens besked om försvaret?,Vad säger Dagens Nyheters ledarsida om beskedet om försvaret?
Krigets tidvatten vänder – Ryssland gör sig redo för ”maximal aktivering”,"I Ukraina ser momentum ut att vara på väg att svänga över till Rysslands fördel, skriver Radio Free Europe. Förändringen kommer efter flera månader av ukrainska framgångar, som möjliggjorts bland annat tack vare militärt stöd från väst.I den symboliskt viktiga staden Bachmut har de långvariga ryska attackerna tagit ut sin rätt för utmattade ukrainska styrkor. I januari tvingades Ukrainas armé att dra sig tillbaka från saltgruvestaden Soledar, som ligger bara några kilometer norr om Bachmut. Och Ukrainas säkerhetsråd varnar för att Ryssland gör sig redo för ytterligare framryckningar.– De förbereder just nu för en maximal aktivering, sa Oleksij Danilov, som är en del av säkerhetsrådet, tidigare i veckan.Samtidigt säger president Volodymyr Zelenskyj att de ukrainska styrkorna kommer att kämpa ”så länge man kan” för att hålla ”fortet” Bachmut.– Ingen kommer att överge Bachmut.",2023-02-04T08:46:53Z,5Bj58z,Vad har hänt med de ukrainska styrkorna i staden Bachmut?,Vad varnade Ukrainas säkerhetsråd för angående Ryssland?
Ryska styrkor grävde i Tjornobyl – kan ha tagit med sig kontaminerad jord,"Den ryska militären grävde skyttegravar i Tjornobyls värst kontaminerade områden – och nu finns det en risk att de spridit de radioaktiva partiklarna i Ukraina, Belarus och Ryssland, uppger ukrainska tjänstemän för Sky News.Trots riskerna har ryska soldater grävt jordvallar till och med i Röda skogen som är den värsta platsen i hela förbjudna zonen, enligt tjänstemännen.– De grävde skyttegravar på många olika platser, säger Yavney Kramarenko till tv-kanalen.Dessutom uppger personalen vid det stängda kärnkraftverket att de sett omkring 10 000 ryska fordon lämna Ukraina genom Tjornobyl, och nu oroas de för att fordonen spridit radioaktiva partiklar från jorden till andra platser.",2022-04-04T05:54:18Z,k6jdd9,Vad har den ryska militären gjort i Tjornobyls förbjudna zon?,Vad oroar personalen vid det stängda kärnkraftverket för?
Kritisk bild förmedlades i statlig tv: ”Extraordinärt”,"Samtidigt som Kreml hävdar att invasionen av Ukraina går precis enligt plan bjöds det i måndags på ”ett extraordinärt stycke tv” när den ryske militäranalytikern och tidigare befälhavaren Mikhail Khodarenok gästade rysk statlig tv. Det skriver BBC:s Rysslandskorrespondent Steve Rosenberg. Analytikern gästade programmet ”60 minuter”, ett program som vanligtvis förmedlar Kremls bild kring ”absolut allting”, enligt Rosenberg. I måndagens program talade dock Khodarenok om en stark moral hos de ukrainska styrkorna, att situationen för Ryssland kommer att bli ”mycket värre”.Även Newsweek uppmärksammar framträdandet, och skriver att ett klipp från programmet som delats i det ryska sociala nätverket Vkontakte har setts mer än 3,8 miljoner gånger. Sajten noterar också att det inte är första gången som Khodarenok uttalar sig kritiskt kring det som Moskva kallar en ”specialoperation”. Redan innan invasionen avfärdade han Rysslands chanser att snabbt besegra Ukraina militärt.Han har även sagt att en allmän mobilisering inte skulle få särskilt stor effekt, med motiveringen att Ryssland har föråldrade vapen som inte kan mätas med vapen som Ukraina fått från Natoländer. ",2022-05-17T17:01:02Z,v5B6EV,"Vem var gäst i det ryska programmet ""60 minuter""?",Vad har Mikhail Khodarenok sagt om de ukrainska styrkorna?
Putin: ”Ryssland ska utöka sin militära kapacitet”,"Rysslands president Vladimir Putin lovade i ett tal om landets militära mål för 2023 att ge de militära styrkorna vad de än kan tänkas behöva i striderna i Ukraina, skriver Reuters.I talet – som hölls inför försvarschefer i Moskva – sa han att det inte finns några ekonomiska begränsningar från regeringens sida.– Ryssland kommer att utöka sin militära kapacitet.Han tillade också att Ryssland ska fortsätta förbättra stridsberedskapen för sina kärnvapenstyrkor.– Interkontinentala ballistiska robotar kommer att förberedas för användning i fält inom en snar framtid.Samtidigt passade han på att tacka de ryska soldaterna för deras insatser i Ukraina.Putin sa också att kriget är en ”gemensam tragedi” men att skulden inte kan läggas på Moskva. ",2022-12-21T10:59:17Z,WR6Obd,Vad lovade Vladimir Putin i sitt tal om landets militära mål för 2023?,Vad sa Vladimir Putin om skulden för kriget i Ukraina?
Kärnkraftverket i Tjornobyl uppges vara strömlöst,"Kärnkraftverket i Tjornobyl är återigen i strömlöst, uppger operatören Ukrenergo enligt AFP. Anledningen är att en strömkabel skadats i en rysk attack, och reparatörer ska vara på väg för att åtgärda problemet.Kärnkraftverket har dieselgeneratorer som temporärt kan förse anläggningen med den elektricitet som krävs för att säkerhetssystem och nedkylning ska fungera.Även staden Slavutych, dit strömkabeln går, saknar under måndagen ström.",2022-03-14T11:16:43Z,8QK9dE,Vad har hänt med kärnkraftverket i Tjornobyl?,Varför saknar staden Slavutych ström?
Förhandlare: Framsteg i samtalen – bäddar för möte mellan Putin och Zelenskyj,"Ukraina föreslår att landet ska anta neutral status i utbyte mot säkerhetsgarantier, säger ukrainska förhandlare till Reuters under dagens fredssamtal i Istanbul. Det skulle innebära att landet inte kommer att gå med i Nato eller låta andra länder placera militärbaser i landet.De ukrainska förslagen kan bara bli verklighet vid ett totalt eldupphör i landet. Ukraina säger vidare att det har gjorts tillräckliga framsteg under dagens samtal för att ett möte mellan Vladimir Putin och Volodymyr Zelenskyj ska kunna äga rum.Rysslands chefsförhandlare Vladimir Medinskij säger att dagens samtal har varit konstruktiva och att han nu kommer att gå igenom de ukrainska förslagen innan han tar dem vidare till Putin.Från turkiskt håll beskrivs dagens samtal som de mest framgångsrika hittills mellan ländernas delegationer, skriver Reuters. Utrikesministern Mevlut Cavusoglu säger dock att en rad frågor kvarstår att diskutera vid ett datum längre fram. ",2022-03-29T11:48:08Z,mr4ALg,Vad föreslår Ukraina i utbyte mot säkerhetsgarantier?,Vad säger Rysslands chefsförhandlare om dagens samtal i Istanbul?
Zelenskyj ber britterna om flygstöd: ”Ge oss vingar”,"Ukrainas president Volodymyr Zelenskyj vädjar till Storbritannien att förse landet med stridsflyg för att möta den ryska invasionen. Vid sitt tal inför det brittiska parlamentet på onsdagen säger presidenten att han är stolt över sitt flygvapen, men att hjälp behövs. – Vi har frihet, ge oss vingar att försvara den, säger han under sin visit i London, enligt Sky News.Premiärminister Rishi Sunak har inte gett några sådana löften, men däremot sagt att utbildning av stridspiloter ska erbjudas. Storbritannien har utmärkt sig som en av de största bidragsgivarna till Ukraina sedan invasionen i februari i fjol. Enligt franska regeringskällor reser presidenten vidare till Frankrike sent på onsdagen, skriver AFP. ",2023-02-08T14:42:22Z,mQ31M4,Vad vädjar Ukrainas president Volodymyr Zelenskyj om till Storbritannien?,Vilket löfte har Storbritanniens premiärminister Rishi Sunak gett till Ukraina?
